Department,It is possible for someone to misuse my computer if I leave it unattended.,I sometimes use my business email for personal use (e.g. signing up for services).,Using public WI-FI can potentially expose communications to harmful actors.,"If I misplace my mobile device, it is immediate cause for concern.",I care about my online privacy.,I report all breaches of security within my company.,Outdated software/devices can have known vulnerabilities which attackers can exploit.,Personal passwords are meant for individual use only.,"I am wary of links/attachments sent to me by email, and only download attachments if I am expecting them and am certain of their content.",Online ads can potentially be malicious.,I think MFA (multifactor authentication) is unnecessary.,I am trusting of other people online.,I report breaches of security within my company immediately.,Keeping data backed up on both the cloud and physically minimises risk of data loss.,A strong password can be less than 10 characters long.,My email password is separate from my other accounts.,There exist malicious sites online in which information should not be entered.,I believe friends/family/partner should have access to my mobile device.,I would much rather do business communications though social media messaging as it is more convenient.,The first people I notify of a security breach are higher ups/incident response team.,Documents left physically visible can result in data exposure to unwanted actors.,I shouldn't worry too much if I leave my password unlocked while my computer is unattended.        ,Signing up for personal accounts using a business email shouldn’t be much cause for concern.,"I avoid connecting to public Wi-Fi where possible, or otherwise take steps to secure my communication (VPN, being mindful what I send, etc.).",Losing my mobile device poses a significant security risk.,"I am mindful of what I post online says about me (eg. place of employment, schedule, etc.).",I fear that reporting a security incident might lead to me getting in trouble.,I install software updates as soon as they become available.,It is ok to share my password with trustworthy people.,"If I know the sender, any links/attachments they send to me should be safe.","I avoid clicking on ads, or otherwise use an ad blocker.",Multifactor authentication (MFA) strongly increases the security of linked accounts.,I am discerning of whether people online are who they claim to be.,I have other duties that take priority over reporting security incidents.,I regularly backup my data.,I believe that it is necessary for all my passwords to be at least 10 characters long.,I believe it necessary for my password to be unique across accounts.,I only enter information online if I can be 100% certain of a site’s legitimacy. ,My device is at its most secure when I am the only one who can access it.,I talk to employees and clients through social media messaging.,I believe that notice of a security breach will make it to higher ups sooner or later without my input.,"I ensure that documents aren’t left lying around where they can easily be seen  (eg. printer tray, on desk).",I lock my computer if I leave it unattended.,Business email accounts are for business use only.,I believe communicating over public Wi-Fi is sometimes necessary to do my job.,"I ensure my mobile device is on my person, or otherwise secure, at all times",Anyone can see what I post to public social media.,Reporting security incidents is important for future response and prevention.,I find it annoying to keep devices/software up to date and often find myself putting it off.,I share my personal password with others.,Email links and attachments can potentially be harmful.,I think online ads should be viewed critically.,I use multifactor authentication (MFA) wherever possible.,You can easily pretend to be someone else online.,Reporting an incident in a timely manner mitigates damage and reduces the likelihood of similar incidents occurring.,I don’t find it necessary to regularly back up my data.,I use passwords that are at least 10 characters long.,Reusing passwords increases the risk of accounts such as email being compromised.,I believe there isn’t much risk in entering information to online forms.,"I give other people my device’s PIN or biometrics (face ID, fingerprint).",Messaging through social media private messages is 100% secure.,Higher ups/incident response team should be the ones alerted first in the case of a security breach.,I believe documents left lying in plain sight is a non-issue if its within my workplace.
Public Relations,3,2,4,1,1,1,3,1,4,3,4,1,2,3,3,1,1,1,3,1,2,2,1,1,4,4,4,1,2,3,1,1,3,1,1,3,1,1,2,2,3,3,1,3,2,4,1,2,2,1,1,3,1,1,4,2,1,1,2,2,2,1,1
Finance & Accounting,1,4,1,4,2,3,1,4,1,1,1,4,2,1,1,2,3,1,1,4,3,1,1,2,1,3,3,3,4,1,2,2,1,2,1,3,1,3,2,1,1,3,1,2,2,4,1,1,4,2,2,1,2,4,4,4,1,2,3,4,3,4,4
Finance & Accounting,2,2,2,4,4,3,3,3,1,1,1,1,1,1,1,4,2,2,2,1,4,1,1,3,4,4,4,4,1,2,4,3,1,1,3,1,3,4,1,4,3,3,1,1,1,3,1,1,2,1,2,1,4,3,3,2,2,1,1,3,1,1,3
Finance & Accounting,3,4,3,1,2,1,3,1,1,3,3,3,1,3,3,4,3,2,1,1,1,1,1,3,4,1,1,1,2,3,4,1,1,1,3,1,2,2,1,1,1,3,1,3,1,3,1,1,4,2,4,1,4,2,2,2,1,1,3,1,2,3,4
Human Resources,1,3,3,3,4,1,2,3,1,3,3,2,2,1,3,3,4,1,1,4,1,2,3,1,1,3,1,3,1,4,3,2,2,1,4,1,3,1,1,3,2,3,2,1,4,2,1,3,1,1,1,1,3,1,3,2,3,1,1,2,1,3,1
Public Relations,4,1,3,1,4,3,1,3,3,1,3,3,4,4,1,3,4,1,4,4,4,3,4,1,4,2,1,2,1,2,2,4,4,3,4,1,1,1,1,4,1,1,3,4,2,1,3,2,3,1,2,3,2,4,3,4,2,4,4,2,2,1,3
Public Relations,1,3,1,4,2,2,2,3,1,2,3,1,4,3,2,1,4,3,3,1,4,1,1,3,1,1,3,4,1,1,2,4,2,1,1,3,1,3,1,4,1,3,2,2,1,1,1,4,1,3,2,1,4,4,3,4,1,2,1,3,2,4,1
Public Relations,2,3,4,1,1,3,1,2,1,1,3,3,4,2,1,1,3,2,2,4,3,1,1,3,1,4,2,2,1,2,4,1,1,2,4,1,1,1,3,4,1,4,1,3,1,1,2,1,1,1,2,1,1,4,3,1,4,1,1,1,4,1,4
Information Technology,3,1,1,1,1,4,4,4,4,1,2,3,1,3,2,1,1,1,3,3,4,1,1,1,2,1,2,2,3,1,2,3,4,1,3,1,4,2,1,4,3,1,4,3,1,1,4,1,1,2,3,3,2,1,1,4,1,4,1,1,3,1,4
Information Technology,1,1,3,4,1,1,1,3,1,1,4,4,1,1,4,1,4,2,3,3,1,1,1,1,2,1,2,2,1,4,3,2,2,4,4,1,3,3,2,3,4,1,1,1,1,1,4,4,3,1,1,4,2,1,1,3,3,1,4,3,1,2,1
Administration,1,3,2,1,1,1,1,4,2,1,3,1,1,1,1,3,3,1,4,4,3,3,1,3,4,1,1,4,1,4,3,1,2,2,4,1,1,1,2,1,1,2,1,1,3,4,1,1,1,1,1,4,2,2,4,2,1,3,3,4,1,1,4
Marketing,3,1,1,1,1,1,1,3,1,2,3,1,2,1,1,3,4,4,4,4,3,1,1,4,4,3,1,1,1,1,2,4,1,4,2,2,4,3,1,1,4,1,1,2,3,1,1,1,2,1,2,4,1,1,2,1,4,4,1,3,3,1,1
Marketing,1,3,4,1,3,2,1,1,1,4,3,1,2,3,4,2,2,3,1,3,4,1,2,1,2,4,4,4,4,4,1,2,1,4,1,2,4,1,3,1,1,3,2,1,2,4,2,4,4,3,1,1,3,3,1,3,3,2,1,1,1,4,1
Administration,2,1,2,4,2,1,2,1,2,2,3,4,4,3,2,4,2,4,3,1,3,3,1,3,4,4,4,1,1,4,1,3,1,2,1,1,1,2,3,1,2,3,4,4,4,1,2,1,4,3,2,1,4,2,3,2,2,1,4,2,3,1,3
Human Resources,4,1,3,3,2,1,1,2,2,2,1,2,1,1,2,2,1,3,4,4,1,1,1,2,2,2,1,1,1,1,3,1,3,2,1,4,3,1,1,4,3,1,2,2,1,3,1,4,2,1,1,1,2,1,4,4,3,3,4,1,1,1,1
Human Resources,1,2,1,2,4,1,3,1,1,1,4,1,3,2,2,1,4,3,1,1,1,3,4,4,1,1,4,3,3,2,3,4,2,3,1,1,1,1,1,4,3,3,2,4,3,1,3,1,2,3,1,1,1,4,3,3,3,2,3,1,1,4,4
Human Resources,4,4,3,1,4,3,2,4,3,1,4,1,3,1,2,1,3,1,1,1,1,3,3,1,3,1,1,2,2,2,2,2,2,3,4,1,3,3,1,4,3,1,1,1,1,1,1,1,1,2,2,4,4,2,3,1,2,3,1,1,1,4,1
Human Resources,4,1,1,1,4,1,2,4,1,3,1,3,1,4,3,4,3,1,1,3,1,1,3,1,3,1,2,3,3,1,3,1,2,4,1,2,3,1,1,3,1,3,1,3,4,2,1,2,1,4,1,1,1,2,3,1,1,1,2,4,2,1,4
Human Resources,2,3,1,1,3,3,4,4,1,2,3,1,3,3,1,4,4,1,1,4,1,1,3,1,3,1,1,2,4,3,2,1,4,4,4,2,3,3,1,1,4,4,2,2,2,4,1,3,3,4,4,1,1,4,3,4,4,1,1,1,4,4,1
Marketing,4,2,1,2,2,4,4,1,2,1,1,4,3,3,4,3,1,1,1,2,4,2,3,1,4,3,1,1,2,1,1,2,1,2,4,1,2,1,1,1,4,1,1,4,1,4,1,1,1,1,3,1,1,2,1,1,4,2,2,2,2,1,3
Public Relations,3,3,4,3,2,1,1,4,4,1,1,2,4,4,3,2,2,1,1,3,3,3,1,2,4,4,2,1,3,3,1,3,1,4,1,1,4,1,2,2,1,1,1,3,1,2,2,1,3,2,4,1,2,3,2,3,1,1,3,4,3,3,2
Administration,1,3,2,2,4,3,1,4,1,2,1,2,3,1,3,1,1,1,4,1,3,1,1,3,1,1,1,1,2,2,2,3,2,4,3,2,2,1,4,2,1,3,1,1,2,1,2,3,4,2,3,1,2,1,1,1,1,1,1,3,4,4,2
Administration,4,1,4,2,3,1,3,4,1,1,1,4,2,4,2,4,4,2,3,4,1,1,3,1,3,1,2,2,3,4,1,3,3,1,1,2,3,1,3,1,3,2,1,1,1,1,1,1,2,1,3,2,4,2,4,1,1,3,3,2,1,1,1
Administration,4,1,1,4,2,1,2,4,1,3,1,4,1,2,3,1,2,1,1,2,2,4,2,4,1,1,3,3,1,4,4,4,1,1,4,1,4,3,1,4,1,3,4,2,4,2,2,1,1,1,1,4,3,1,4,4,3,2,2,1,4,3,1
Finance & Accounting,2,4,1,1,2,3,4,1,1,2,1,1,1,1,4,1,3,3,1,2,3,1,3,1,4,1,3,3,1,1,3,1,3,4,2,1,4,3,1,4,1,4,1,3,1,3,4,3,1,2,1,1,4,1,1,1,3,2,3,4,1,3,3
Human Resources,1,2,4,1,3,3,3,4,4,1,1,1,1,3,1,2,2,3,2,4,1,1,3,4,1,1,2,1,1,1,2,3,4,1,1,3,1,1,3,2,1,1,1,4,2,1,2,1,4,1,4,4,2,3,4,1,1,4,3,1,1,3,3
Information Technology,2,1,2,2,1,1,4,3,2,4,3,4,2,1,4,3,4,1,3,1,4,1,1,2,1,3,1,1,1,2,3,2,1,3,1,1,1,3,1,2,3,1,4,1,4,1,1,3,4,3,1,1,3,1,3,1,4,1,4,2,1,2,4
Human Resources,3,1,3,3,1,1,3,2,1,2,4,2,4,2,4,1,2,3,1,4,4,1,2,3,1,1,1,4,3,4,4,3,4,3,3,3,1,1,1,3,1,1,4,1,1,2,1,1,1,1,1,1,3,3,4,4,1,2,1,4,1,1,1
Marketing,2,1,2,1,4,1,2,1,2,1,2,4,4,2,4,1,3,2,1,4,4,3,3,3,1,2,3,1,2,4,1,4,1,3,4,3,4,1,4,2,1,2,3,1,3,4,1,1,2,1,4,1,1,1,3,1,2,3,1,1,1,4,4
Human Resources,1,1,3,1,1,2,1,1,1,4,1,4,3,1,4,1,2,4,1,2,2,2,2,1,1,2,4,4,4,1,4,1,2,1,1,1,1,4,2,4,1,3,1,1,1,1,3,1,4,3,2,1,4,1,1,1,1,2,1,2,2,4,1
Marketing,2,4,2,4,2,4,1,3,1,1,1,3,2,4,3,4,2,1,3,4,3,1,4,4,4,4,3,2,4,4,3,1,3,1,2,2,1,3,3,2,1,1,1,1,1,1,3,1,1,2,2,1,3,1,1,1,2,4,2,3,1,1,1
Administration,4,3,2,1,2,1,4,3,1,1,2,1,3,3,3,3,1,4,4,4,1,4,1,1,3,4,1,3,4,1,4,2,1,4,2,1,1,1,3,2,1,1,1,3,1,4,4,1,2,1,3,1,3,1,1,3,4,3,3,4,1,1,4
Administration,3,1,1,4,3,4,4,4,1,1,1,1,3,2,1,1,4,2,2,2,4,1,1,1,3,3,1,2,3,4,1,4,3,1,1,1,1,4,1,3,1,3,4,1,1,2,3,3,3,3,1,2,1,1,1,2,2,2,1,4,2,4,1
Human Resources,1,1,4,1,3,2,3,1,3,1,3,3,3,4,2,2,1,2,1,4,2,4,1,1,1,4,1,4,2,3,1,1,2,1,3,4,4,1,2,1,2,1,1,4,1,3,1,3,1,1,1,1,3,2,4,1,2,1,4,1,3,1,2
Public Relations,4,2,1,2,4,1,2,2,1,1,2,2,3,2,2,2,4,4,1,1,2,1,3,2,3,2,1,2,4,1,1,4,1,1,4,1,3,3,1,1,3,1,4,2,3,1,3,4,3,2,4,1,1,1,4,4,3,3,4,1,2,3,4
Human Resources,1,1,2,1,1,2,3,1,1,4,1,2,1,3,1,3,3,1,4,1,1,1,1,1,4,3,2,2,3,1,4,3,2,1,2,3,4,1,2,4,4,3,1,1,2,1,4,1,1,2,4,3,1,3,2,4,3,1,1,3,2,2,3
Public Relations,1,3,1,3,2,1,4,1,3,2,1,1,3,3,1,3,1,1,1,4,2,2,3,1,1,3,1,1,1,1,1,3,1,3,3,2,1,1,4,1,4,4,1,3,4,1,3,1,1,2,1,3,1,2,2,1,3,4,1,2,4,1,4
Human Resources,3,1,1,2,1,1,2,1,1,1,4,2,2,3,3,2,4,1,1,2,2,4,3,1,1,1,2,3,2,1,4,3,1,1,2,1,3,2,1,1,1,3,1,3,4,4,4,3,2,3,4,4,1,1,2,4,4,2,2,1,2,1,1
Public Relations,3,1,4,1,4,4,4,3,2,2,1,1,2,4,3,1,2,1,2,2,1,1,3,4,1,2,4,2,3,1,1,4,1,2,1,1,3,3,2,4,1,4,3,1,1,4,4,3,4,4,2,3,1,1,1,1,1,2,1,1,1,1,1
Public Relations,3,1,2,4,3,3,4,4,2,1,1,3,1,3,1,2,1,3,1,1,1,1,3,1,1,4,1,1,2,1,2,4,4,2,3,1,2,4,1,3,3,1,2,4,1,1,1,2,2,1,1,1,3,3,1,1,1,2,4,1,4,1,2
Information Technology,1,1,1,1,2,4,1,3,4,2,1,4,1,1,1,1,1,2,3,1,1,2,1,2,4,1,2,1,4,1,1,1,4,1,1,2,1,2,4,1,4,4,1,3,1,2,1,3,1,2,3,1,1,2,4,4,1,1,1,3,1,1,1
Information Technology,3,1,4,1,2,4,1,2,1,1,1,1,1,3,1,3,1,1,1,4,4,1,1,1,3,3,3,2,1,4,4,3,1,3,1,1,2,3,1,1,4,1,4,2,3,3,3,2,1,3,3,4,1,4,2,3,2,2,4,1,1,2,1
Administration,4,4,1,4,3,1,2,4,1,1,3,1,1,4,1,1,2,2,1,1,1,1,4,1,2,1,3,1,2,1,3,2,2,1,1,1,3,1,1,2,4,1,2,1,3,1,1,1,1,2,1,1,1,4,2,3,1,3,3,1,1,4,2
Public Relations,2,2,1,3,1,1,2,1,1,1,1,3,4,2,2,3,4,4,3,4,3,3,1,1,1,4,4,4,1,4,1,1,2,1,1,1,3,3,2,3,1,4,1,3,3,4,4,3,4,4,3,1,3,1,2,3,3,1,3,4,3,1,1
Human Resources,3,2,4,2,4,1,1,1,1,4,2,4,4,3,1,1,4,3,4,1,2,4,1,4,3,4,4,4,1,2,4,1,1,1,4,4,1,4,3,1,4,4,3,2,2,4,3,1,3,1,4,3,3,1,2,1,3,3,4,1,4,2,2
Information Technology,3,4,3,3,2,2,3,1,1,3,4,1,1,3,1,2,1,1,3,1,1,2,2,3,3,1,2,1,4,3,1,1,1,2,1,3,4,1,2,4,3,1,3,3,2,1,4,2,1,4,1,1,2,2,1,1,2,4,2,4,1,2,4
Public Relations,4,1,1,2,3,4,3,1,4,3,3,2,1,1,1,4,2,3,1,1,4,2,4,4,4,3,4,1,4,1,3,1,2,2,1,2,1,3,1,1,3,4,1,3,4,1,4,2,3,1,1,3,1,3,2,4,2,1,3,2,4,3,1
Public Relations,4,1,1,3,3,1,2,1,4,1,2,3,4,2,2,1,2,1,2,1,1,2,1,3,2,4,2,2,2,1,4,4,1,3,3,3,4,1,2,4,2,2,3,1,3,2,1,1,2,3,1,2,3,3,4,4,3,4,1,1,2,1,2
Human Resources,1,1,3,2,4,1,2,1,1,3,3,4,3,4,1,3,3,4,1,1,2,4,3,4,1,1,2,3,2,1,4,4,3,2,1,2,3,3,1,1,4,3,3,1,3,1,1,1,4,4,1,1,1,4,2,3,4,2,4,2,3,2,4
Marketing,3,1,4,2,1,4,1,3,1,3,1,3,1,4,1,1,2,1,1,1,1,1,3,1,2,2,1,3,1,4,1,3,1,4,3,2,3,2,2,4,1,2,1,1,1,1,4,2,4,4,3,3,1,1,2,4,4,1,1,3,1,2,1
Public Relations,3,1,3,4,1,1,2,1,2,2,1,4,2,2,1,2,1,1,4,3,1,3,4,1,4,3,1,1,1,1,1,1,2,4,1,4,2,1,2,2,4,2,3,1,3,3,2,1,3,4,1,4,1,2,3,4,3,4,2,1,1,3,1
Information Technology,3,1,4,2,1,1,1,1,1,1,1,3,3,3,2,3,3,2,2,1,1,2,4,1,2,4,3,2,4,4,3,3,2,3,4,3,4,1,1,2,1,1,1,1,1,1,1,2,3,1,1,3,1,2,1,1,4,3,4,1,3,4,1
Information Technology,1,2,2,3,1,1,3,1,4,1,4,2,2,4,2,1,1,1,1,1,1,1,1,2,4,3,1,1,2,1,4,4,1,3,1,2,1,2,4,4,4,2,1,3,4,3,2,1,1,2,4,2,1,1,2,4,3,1,1,4,1,1,1
Information Technology,1,3,3,1,3,2,4,1,4,4,2,1,2,2,1,3,2,1,1,2,4,1,4,3,1,3,1,1,4,4,4,2,1,3,2,1,3,2,4,1,2,1,1,2,1,2,2,4,3,3,1,1,3,1,2,1,2,4,1,1,2,1,4
Information Technology,1,1,3,2,3,1,1,4,1,2,4,1,1,4,4,4,2,4,2,3,1,2,3,1,2,1,3,4,1,3,3,3,1,3,1,1,1,1,1,2,1,4,1,3,4,1,3,1,4,3,1,3,1,3,3,1,1,1,4,4,2,1,1
Administration,1,1,1,1,1,3,4,3,3,1,1,3,2,1,1,1,1,2,4,4,3,3,1,1,2,1,1,3,3,4,1,1,1,2,4,4,4,1,1,2,1,4,1,1,1,2,1,3,2,3,1,1,4,2,1,1,1,1,3,1,4,2,1
Finance & Accounting,1,1,1,3,1,1,2,1,1,1,1,4,1,1,3,1,1,1,1,2,1,1,4,2,3,1,2,1,1,2,1,1,2,4,2,2,3,1,4,2,3,4,2,4,2,1,2,2,3,3,1,4,3,1,2,1,4,2,3,1,4,3,3
Administration,1,4,4,3,1,1,4,1,4,4,4,2,1,2,4,2,1,1,1,1,3,4,1,2,2,4,4,4,2,1,2,3,4,3,1,3,1,2,4,1,3,1,4,2,1,4,1,1,3,1,4,1,3,3,1,1,3,4,4,1,1,1,4
Marketing,2,1,4,1,1,1,1,4,2,3,4,4,3,1,1,3,2,2,2,1,1,4,1,1,3,1,3,1,4,1,3,1,1,4,2,1,3,3,3,4,4,1,4,3,3,2,2,1,1,3,4,3,4,1,4,2,1,4,2,4,2,4,1
Marketing,1,4,2,1,4,2,1,1,3,4,4,3,3,2,2,1,3,1,4,1,4,3,1,2,3,3,3,4,1,2,3,2,4,2,3,1,4,1,3,1,4,1,1,4,3,1,1,4,1,1,4,2,1,1,4,1,3,1,1,1,1,1,4
Administration,3,3,1,1,4,3,4,1,1,2,2,4,1,3,4,1,1,4,1,1,1,1,3,1,1,4,4,3,2,3,1,2,1,3,4,4,1,3,2,1,1,4,1,3,3,2,1,1,1,1,4,1,3,4,1,2,4,1,4,3,3,3,3
Marketing,2,1,2,1,1,2,1,4,1,1,1,4,2,4,1,4,2,4,1,4,2,3,3,4,1,2,3,2,1,4,2,2,1,3,1,3,3,1,3,1,4,4,1,2,2,1,4,1,1,3,2,1,1,2,3,3,1,3,1,1,2,1,3
Public Relations,3,2,4,3,4,4,3,1,2,1,3,1,1,3,1,4,4,1,1,3,3,4,4,1,2,4,4,4,2,1,1,1,1,2,4,2,1,1,3,3,3,1,2,3,4,1,4,2,3,1,3,1,1,2,2,1,2,2,3,4,1,2,1
Public Relations,4,2,1,1,4,1,2,1,1,4,1,1,1,2,1,4,2,1,3,2,1,3,2,3,1,1,3,1,1,1,1,1,1,4,1,1,2,1,3,1,3,3,4,1,1,1,3,4,4,1,1,1,2,3,4,4,4,3,4,1,1,4,1
Public Relations,1,1,1,2,3,1,2,2,1,1,1,1,2,1,1,1,2,3,4,2,3,1,3,1,3,2,3,1,2,1,4,3,2,4,4,4,3,3,4,1,1,3,1,3,1,4,3,2,2,1,1,2,3,4,2,2,3,3,1,4,4,3,3
Information Technology,1,1,4,1,1,2,2,3,1,1,1,3,1,1,1,2,1,4,1,1,4,2,1,2,1,4,3,4,3,1,3,1,1,1,4,3,2,2,2,3,2,3,1,2,2,2,1,1,1,3,3,3,2,1,3,1,4,1,4,3,1,4,1
Information Technology,2,1,3,1,3,1,3,1,3,3,1,4,1,3,3,1,1,3,2,1,1,1,1,1,3,1,4,1,1,3,1,3,1,4,4,1,1,2,1,2,1,1,4,2,3,3,2,2,2,3,3,1,1,1,4,2,3,2,4,1,3,1,4
Public Relations,4,2,3,1,2,2,3,2,1,2,1,4,4,2,1,1,4,2,4,3,1,4,1,3,3,3,2,1,1,1,3,1,1,4,4,3,1,1,1,1,4,2,4,4,2,3,1,2,3,1,3,2,4,2,4,4,1,1,1,4,3,4,1
Public Relations,4,3,2,4,4,2,2,2,1,1,2,1,4,1,1,2,4,2,2,1,2,1,2,1,2,4,3,4,1,3,4,4,2,3,3,1,1,1,3,2,3,4,3,3,1,1,2,2,2,2,2,1,1,3,1,1,1,1,4,4,4,1,1
Finance & Accounting,1,4,1,2,3,1,1,3,2,1,1,2,1,1,2,2,4,4,4,2,1,1,1,1,2,3,3,1,3,2,1,1,4,1,4,1,1,4,1,2,1,2,4,1,1,4,4,1,1,1,1,1,1,3,4,4,4,1,2,2,1,2,2
